timestamp,temperature,humidity,motion
2025-06-08 16:19:51,21.93,77.07,False
2025-06-08 16:19:56,25.87,35.64,False
2025-06-08 16:20:01,43.82,36.34,True
2025-06-08 16:20:06,42.94,75.44,True
2025-06-08 16:20:11,31.97,63.89,True
2025-06-08 16:20:16,32.17,65.04,False
2025-06-08 16:20:21,39.96,57.81,False
2025-06-08 16:20:26,44.04,67.52,False
2025-06-08 16:20:31,25.8,52.74,True
2025-06-08 16:20:36,40.71,56.0,False
2025-06-08 16:20:41,23.45,35.77,True
2025-06-08 16:20:46,21.13,42.6,True
2025-06-08 16:20:51,41.85,38.46,True
2025-06-08 16:20:56,25.13,35.06,False
2025-06-08 16:21:01,31.45,71.27,False
2025-06-08 16:21:06,28.42,70.76,True
2025-06-08 16:21:11,41.66,47.83,False
2025-06-08 16:21:16,30.24,59.92,False
2025-06-08 16:21:21,21.96,73.48,False
2025-06-08 16:21:26,42.86,59.83,True
2025-06-08 16:21:31,41.01,59.45,False
2025-06-08 16:21:36,29.19,31.72,True
2025-06-08 16:21:41,29.97,35.79,True
2025-06-08 16:21:46,38.59,45.8,False
2025-06-08 16:21:51,20.89,51.16,False
2025-06-08 16:21:56,39.45,74.97,True
2025-06-08 16:22:01,40.03,56.23,False
2025-06-08 16:22:06,25.23,71.27,True
2025-06-08 16:22:11,27.92,64.17,False
2025-06-08 16:22:16,42.76,62.18,False
2025-06-08 16:22:21,24.09,71.58,True
2025-06-08 16:22:26,27.82,59.92,False
2025-06-08 16:22:31,41.99,74.72,True
2025-06-08 16:22:36,32.99,48.65,False
2025-06-08 16:22:41,39.44,67.17,False
2025-06-08 16:22:46,39.77,56.13,False
2025-06-08 16:22:51,38.3,40.43,False
2025-06-08 16:22:56,42.31,50.71,True
2025-06-08 16:23:01,27.0,37.24,False
2025-06-08 16:23:06,22.99,74.07,True
2025-06-08 16:23:11,40.37,76.07,False
2025-06-08 16:23:16,23.47,35.84,True
2025-06-08 16:23:21,33.72,48.76,True
2025-06-08 16:23:26,30.74,65.45,False
2025-06-08 16:23:31,41.62,39.79,True
2025-06-08 16:23:36,43.2,50.04,False
2025-06-08 16:23:41,41.39,39.54,True
2025-06-08 16:23:46,26.99,72.4,True
2025-06-08 16:23:51,31.87,58.44,False
2025-06-08 16:23:56,37.0,73.4,False
2025-06-08 16:24:01,41.87,63.94,True
2025-06-08 16:24:06,26.83,68.05,True
2025-06-08 16:24:11,26.21,55.32,False
2025-06-08 16:24:16,39.63,48.72,False
2025-06-08 16:24:21,32.62,32.24,False
2025-06-08 16:24:26,21.84,51.15,True
2025-06-08 16:24:31,41.79,65.8,False
2025-06-08 16:24:36,33.75,32.33,False
2025-06-08 16:24:41,28.63,53.82,False
2025-06-08 16:24:46,27.56,38.36,False
2025-06-08 16:24:51,33.99,55.8,True
2025-06-08 16:24:56,21.04,52.49,False
2025-06-08 16:25:01,41.05,65.48,False
2025-06-08 16:25:06,26.99,52.84,True
2025-06-08 16:25:11,43.44,48.48,True
2025-06-08 16:25:16,29.72,69.82,True
2025-06-08 16:25:21,24.96,73.67,True
2025-06-08 16:25:26,29.74,77.64,False
2025-06-08 16:25:31,30.54,32.57,False
2025-06-08 16:25:36,37.51,75.58,False
2025-06-08 16:25:41,40.39,45.68,True
2025-06-08 16:25:46,26.1,74.62,False
2025-06-08 16:25:51,40.31,50.6,False
2025-06-08 16:25:56,37.23,65.61,False
2025-06-08 16:26:01,30.92,60.46,True
2025-06-08 16:26:06,40.5,44.43,False
2025-06-08 16:26:11,21.37,36.67,True
2025-06-08 16:26:16,21.75,68.78,False
2025-06-08 16:26:21,38.55,38.89,False
2025-06-08 16:26:26,28.96,48.52,False
2025-06-08 16:26:31,25.86,53.03,True
2025-06-08 16:26:36,32.69,32.04,False
2025-06-08 16:26:41,24.82,64.85,True
2025-06-08 16:26:46,32.63,54.28,True
2025-06-08 16:26:51,22.08,46.14,True
2025-06-08 16:26:56,44.31,64.67,True
2025-06-08 16:27:01,28.39,60.03,False
2025-06-08 16:27:06,32.43,38.57,False
2025-06-08 16:27:11,25.58,50.23,True
2025-06-08 16:27:14,20.7,60.65,True
2025-06-08 16:27:16,35.47,65.14,False
2025-06-08 16:27:21,40.51,76.23,False
2025-06-08 16:27:24,43.04,37.92,True
2025-06-08 16:27:26,26.56,61.27,False
